0;0;6;1;11;1;10;2.5;2.5
1;0;1;0;3;0;2;2.5;2.5
2;1;7;1;13;3;11;2.5;1.5
3;1;2;2;5;1;4;2.5;2.5
4;2;8;3;15;5;13;2.5;1.5
5;2;3;4;7;3;6;2.5;2.5
6;3;9;5;17;7;15;2.5;1.5
7;3;4;6;8;5;8;2.5;2.5
8;4;5;7;9;7;9;2.5;2.5
9;5;11;8;19;8;19;2.5;2.5
10;6;12;0;20;11;20;2.5;2.5
11;6;7;10;2;0;12;2.5;1.5
12;7;13;11;22;13;21;1.5;1.5
13;7;8;12;4;2;14;1.5;1.5
14;8;14;13;24;15;22;1.5;0.5
15;8;9;14;6;4;16;1.5;1.5
16;9;15;15;26;17;24;1.5;0.5
17;9;10;16;18;6;18;1.5;1.5
18;10;16;17;27;17;26;1.5;1.5
19;11;17;9;28;9;28;2.5;2.5
20;12;18;10;29;10;29;2.5;2.5
21;13;19;12;31;22;30;1.5;1.5
22;13;14;21;14;12;23;1.5;0.5
23;14;20;22;32;24;31;0.5;0.5
24;14;15;23;16;14;25;0.5;0.5
25;15;21;24;34;26;32;0.5;0.5
26;15;16;25;18;16;27;0.5;1.5
27;16;22;26;36;18;34;1.5;1.5
28;17;23;19;37;19;36;2.5;2.5
29;18;24;20;38;20;38;2.5;2.5
30;19;25;21;40;31;39;1.5;1.5
31;19;20;30;23;21;32;1.5;0.5
32;20;21;31;25;23;33;0.5;0.5
33;21;27;32;43;34;42;0.5;1.5
34;21;22;33;27;25;35;0.5;1.5
35;22;28;34;43;36;43;1.5;1.5
36;22;23;35;28;27;37;1.5;2.5
37;23;29;36;44;28;44;2.5;2.5
38;24;30;29;45;29;45;2.5;2.5
39;25;31;30;46;40;45;1.5;2.5
40;25;26;39;42;30;41;1.5;1.5
41;26;32;40;47;42;46;1.5;2.5
42;26;27;41;33;40;43;1.5;1.5
43;27;28;42;35;33;35;1.5;1.5
44;29;35;37;49;37;49;2.5;2.5
45;30;31;38;39;38;46;2.5;2.5
46;31;32;45;41;39;47;2.5;2.5
47;32;33;46;48;41;48;2.5;2.5
48;33;34;47;49;47;49;2.5;2.5
49;34;35;48;44;48;44;2.5;2.5
