0;0;1;19;17;16;1;1.5;1.5
1;1;2;0;2;12;2;1.5;1.5
2;2;3;1;14;1;3;1.5;1.5
3;3;4;2;13;14;4;1.5;1.5
4;4;0;3;16;15;22;1.5;1.5
5;5;6;15;6;7;16;0.5;0.5
6;6;7;16;7;5;17;0.5;0.5
7;7;5;17;5;6;15;0.5;0.5
8;1;4;12;15;17;13;1.5;1.5
9;8;10;11;13;12;10;0.5;0.5
10;9;10;14;9;11;13;0.5;0.5
11;8;9;12;10;9;14;0.5;0.5
12;1;8;1;9;8;11;1.5;0.5
13;4;10;8;10;3;9;1.5;0.5
14;3;9;3;11;2;10;1.5;0.5
15;4;5;4;7;8;5;1.5;0.5
16;0;6;0;5;4;6;1.5;0.5
17;1;7;8;6;0;7;1.5;0.5
19;0;12;23;20;0;20;0.5;0.5
20;12;13;19;21;19;23;0.5;0.5
21;13;14;23;22;20;22;0.5;0.5
22;0;14;4;21;23;21;0.5;0.5
23;0;13;22;20;19;21;0.5;0.5
