0;0;4;1;6;1;5;1.5;1.5
1;0;1;0;2;0;2;1.5;1.5
2;1;2;1;3;1;3;1.5;1.5
3;2;3;2;4;2;4;1.5;1.5
4;3;7;3;11;3;10;1.5;1.5
5;4;8;0;12;6;12;1.5;1.5
6;4;5;5;8;0;7;1.5;0.5
7;5;9;6;14;8;13;0.5;0.5
8;5;6;7;10;6;9;0.5;0.5
9;6;10;8;15;10;14;0.5;0.5
10;6;7;9;4;8;11;0.5;1.5
11;7;11;10;16;4;16;1.5;1.5
12;8;12;5;17;5;17;1.5;1.5
13;9;13;7;18;14;17;0.5;1.5
14;9;10;13;9;7;15;0.5;0.5
15;10;14;14;19;9;18;0.5;1.5
16;11;15;11;19;11;19;1.5;1.5
17;12;13;12;13;12;18;1.5;1.5
18;13;14;17;15;13;19;1.5;1.5
19;14;15;18;16;15;16;1.5;1.5
